,Ringelblumen,Zitronenmyrten,Süße Brombeer,Reiskörner,Kakaoschale,Äpfel,Rosmarin,natürliches Aroma,Echtes Goldrutenkraut,Heidekraut,Anis,Schwarzer Tee Ceylon,Grünes HAFERkraut,Sternanis,Chilischote,Rooiboszweigspitze,score,Wacholderbeere,natürliches Zitronen-Aroma,Sanddorn,Löwenzahnkraut,Guaranasame,Orange süß ätherisches Öl,GERSTEnmalz,Thymian,Rock Rose [Gelbes Sonnenröschen],Blaue Malve (Käsepappel),Johannisbeer schwarz,Rosen,Ysopkraut,Isländisch Moos,Vanilleschote,Kardamom,Heidelbeer,Salbei,Erdbeer,Spekulatiusaroma,Fenchel,Holunderbeere,Acerola,Zitronenthymian,Zimt,Grüne Rooiboszweigspitze,Ceylon-Zimt,Mandarine ätherisches Öl,Basilikum,Lavendel,Thymiankraut,Eukalyptus,Linden,Cassia-Zimt,Pfeffer schwarz,Brennnessel,Mate,Apfel,Olive [Olivenbaum],Piment,Benediktenkraut,Koriander,Gewürznelke,Walnuss,Pfefferminze,Nelke,Kümmel,Zitronengras,natürliches Orangenaroma,Nanaminz,Bachnmischung (Auszug aus Hornbeam [Hainbuche],Schwarzer Pfeffer,Spitzwegerich,Kamillen,Kamille,Gänseblümche,Grüntee,Elm [Ulme],Zimtrinde,Zitronen,GRÜNES HAFERKRAUT,Weißer Tee,Kurkuma,Curcuma,Zitronenverbenan,Malven,Fenchel bitter,Johannisbeeren schwarz,Lemongraskraut,Schwarztee,Brombeer süß,Birnen,White Chestnut [Rosskastanie] und Aspen [Espe]),Hibiskus,Melissen,Hornbeam [Hainbuche],Ingwer,Schafgarbe,Krauseminze,Nelken ätherisches Öl,Vanille Extrakt,Quitten,weißer Hibiskus,Ginseng,Zichorien,Oak [Eiche],Galgant,Hagebuttenschale,Kornblume,Fenchel süß,Zitronenschale,Eibisch,Schafgarbenkraut,Ringelblume,Gentian [Herbstenzian] und Centaury [Tausendgüldenkraut]),Zitronenverbena,Wild Rose [Heckenrose],Orangenschale,Dillkraut,Pfeffer rosa,Impatiens [Springkraut],Holunder,Lavendel ätherisches Öl,Süßholz,Honeybush,Griechischer Bergtee,Sonnenblumennblätter,Bachnmischung (Auszug aus Elm [Ulme],Zimt ätherisches Öl,Pfefferminz,Zitronenmelisse,Acerolasaft,Rooibos,Rote Bete,Orangen süß,Pfeffer,Hanf,Hagebutte,Scleranthus [Knäuelkraut] und Sweet Chestnut [Edelkastanie]),Apfelminze,Hopfenzapfe,Bachnmischung (Auszug aus Gentian [Herbstenzian],Echinaceakraut,Weißdorn,Passionsblumenkraut,Natürliches Aroma mit Apfelgeschmack,Majorankraut,Honigbuschzweigspitze,Orangen,Brombeer,Lemongras
GRÜNER GLÜCKSTEE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERNACHT TEE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WIEDER GUT! FÜRS BAUCHGEFÜHL TEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCHUTZENGEL TEE,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Apple,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Winterzeit,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Be Happy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genmaicha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediterraner Kräuter Tee Kräuterteemischung,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Innere Kraft Kräuterteemischung mit Ingwer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kräuter Tee Kräuterteemischung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
